"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"22006-12334","SG","Avery","Avery Bradley","Bradley","26.735713413783483","14","6300","DET@IND","DET","IND","","","",""
"22006-66048","SF","Brandon","Brandon Ingram","Ingram","27.373333740234376","15","6200","PHO@LAL","LAL","PHO","","","",""
"22006-23169","C","Steven","Steven Adams","Adams","30.80909035422585","11","6200","OKC@SA","OKC","SA","GTD","Calf","",""
"22006-17333","SG","Will","Will Barton","Barton","29.142857142857142","14","6200","NO@DEN","DEN","NO","","","",""
"22006-9663","PG","Jrue","Jrue Holiday","Holiday","31.533333333333335","15","6200","NO@DEN","NO","DEN","","","",""
"22006-49116","SG","Andrew","Andrew Wiggins","Wiggins","29.557141985212052","14","6200","MIN@DAL","MIN","DAL","","","",""
"22006-9787","SF","DeMarre","DeMarre Carroll","Carroll","27.653846153846153","13","6000","UTA@BKN","BKN","UTA","","","",""
"22006-12474","PG","Patrick","Patrick Beverley","Beverley","26.579998779296876","10","6000","LAC@CLE","LAC","CLE","GTD","Knee","",""
"22006-80812","PF","Lauri","Lauri Markkanen","Markkanen","28.53333282470703","12","6000","CHA@CHI","CHI","CHA","","","",""
"22006-14523","PG","Reggie","Reggie Jackson","Jackson","29.07857186453683","14","5900","DET@IND","DET","IND","","","",""
"22006-16220","SG","Dion","Dion Waiters","Waiters","25.600001017252605","12","5900","MIA@WAS","MIA","WAS","","","",""
"22006-9570","C","Pau","Pau Gasol","Gasol","28.80666707356771","15","5900","OKC@SA","SA","OKC","","","",""
"22006-23802","SG","Kris","Kris Dunn","Dunn","24.087499618530273","8","5800","CHA@CHI","CHI","CHA","","","",""
"22006-9621","C","Brook","Brook Lopez","Lopez","27.319999186197915","15","5800","PHO@LAL","LAL","PHO","","","",""
"22006-9666","PF","Thaddeus","Thaddeus Young","Young","27.133333333333333","15","5800","DET@IND","IND","DET","","","",""
"22006-24544","SG","Gary","Gary Harris","Harris","24.616666158040363","12","5800","NO@DEN","DEN","NO","GTD","Shoulder","",""
"22006-15904","SG","Rodney","Rodney Hood","Hood","22.553847092848557","13","5700","UTA@BKN","UTA","BKN","","","",""
"22006-9624","PG","Darren","Darren Collison","Collison","27.99333292643229","15","5600","DET@IND","IND","DET","","","",""
"22006-9637","SF","Danilo","Danilo Gallinari","Gallinari","23.91111077202691","9","5600","LAC@CLE","LAC","CLE","O","Hip","",""
"22006-16604","SG","Justin","Justin Holiday","Holiday","26.618180708451703","11","5500","CHA@CHI","CHI","CHA","","","",""
"22006-9966","PF","James","James Johnson","Johnson","28.107691838191105","13","5500","MIA@WAS","MIA","WAS","","","",""
"22006-59318","SF","Joe","Joe Ingles","Ingles","24.473333740234374","15","5500","UTA@BKN","UTA","BKN","","","",""
"22006-12342","PF","Al-Farouq","Al-Farouq Aminu","Aminu","27.375","8","5400","POR@SAC","POR","SAC","O","Ankle","",""
"22006-15501","SF","Allen","Allen Crabbe","Crabbe","19.900000435965403","14","5400","UTA@BKN","BKN","UTA","","","",""
"22006-59358","PF","Domantas","Domantas Sabonis","Sabonis","28.161538931039665","13","5400","DET@IND","IND","DET","","","",""
"22006-42669","PF","Julius","Julius Randle","Randle","23.373333740234376","15","5300","PHO@LAL","LAL","PHO","","","",""
"22006-15592","SG","Austin","Austin Rivers","Rivers","23.27692354642428","13","5300","LAC@CLE","LAC","CLE","","","",""
"22006-15636","SG","Kentavious","Kentavious Caldwell-Pope","Caldwell-Pope","25.27692354642428","13","5300","PHO@LAL","LAL","PHO","","","",""
"22006-9873","C","Robin","Robin Lopez","Lopez","25.683334350585938","12","5200","CHA@CHI","CHI","CHA","","","",""
"22006-20992","PF","Larry","Larry Nance Jr.","Nance Jr.","25.1875","8","5100","PHO@LAL","LAL","PHO","O","Thumb","",""
"22006-9799","SG","Wesley","Wesley Matthews","Matthews","21.613334147135415","15","5100","MIN@DAL","DAL","MIN","","","",""
"22006-20640","SG","Jordan","Jordan Clarkson","Clarkson","24.033333333333335","15","5100","PHO@LAL","LAL","PHO","","","",""
"22006-23716","SF","Kyle","Kyle Anderson","Anderson","23.95999959309896","15","5100","OKC@SA","SA","OKC","","","",""
"22006-14503","C","Jonas","Jonas Valanciunas","Valanciunas","22.13000030517578","10","5100","NY@TOR","TOR","NY","","","",""
"22006-42156","PF","Bobby","Bobby Portis","Portis","30.075000762939453","4","5000","CHA@CHI","CHI","CHA","","","",""
"22006-9579","PF","Zach","Zach Randolph","Randolph","23.4250005086263","12","5000","POR@SAC","SAC","POR","","","",""
"22006-15814","C","Alex","Alex Len","Len","22.15333251953125","15","5000","PHO@LAL","PHO","LAL","","","",""
