,Team,Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Opponent,Injury Indicator,Injury Details,Team Total,Percent of Total,Projected Score,Average Score,Factor,Projection,TPG,PPG,BPG,RPG,APG,SPG,Stat Projection,Value
Jameer Nelson,NO,21968-9652,PG,Jameer,Nelson,17.84166718,12,4000,TOR@NO,TOR,,,231.508290583,0.0770670766696,110.25,107.4,1.02653631285,18.2421927374,1.6,7.0,0.17,2.3,4.1,1.0,18.2421927374,219.271885654
James Ennis III,MEM,21968-17491,SF,James,Ennis III,18.5,13,3600,IND@MEM,IND,,,202.228179269,0.0914808216485,106.75,101.2,1.05484189723,19.4277618577,0.6,8.6,0.23,4.6,1.5,0.69,19.4277618577,185.301839006
James Johnson,MIA,21968-9966,PF,James,Johnson,29.75,12,6200,WAS@MIA,WAS,,,257.900836692,0.115354414439,106.0,101.9,1.04023552502,30.6984789009,2.9,12.4,0.83,5.8,4.3,1.42,30.6984789009,201.964404165
Jarell Martin,MEM,21968-40819,PF,Jarell,Martin,14.76923077,13,3100,IND@MEM,IND,,,202.228179269,0.0730325062679,106.75,101.2,1.05484189723,15.2699703557,1.1,5.0,0.92,4.2,0.6,0.69,15.2699703557,203.012836815
Jarrett Jack,NY,21968-9713,PG,Jarrett,Jack,16.72727273,11,3500,UTA@NY,UTA,,,265.126128738,0.0630917548927,104.0,106.0,0.981132075472,16.4913207547,1.7,4.8,0.09,3.2,5.5,0.45,16.4913207547,212.232849755
Jeff Green,CLE,21968-9648,SF,Jeff,Green,17.90714264,14,3800,CLE@CHA,CHA,,,203.46681143,0.0880101403966,109.75,109.8,0.999544626594,18.0328415301,1.1,10.5,0.21,2.6,1.4,0.93,18.0328415301,210.726634162
Jeff Teague,MIN,21968-9446,PG,Jeff,Teague,31.60769184,13,6500,SA@MIN,SA,,,220.176456758,0.143556183551,107.25,108.8,0.985753676471,31.4698483456,3.6,13.7,0.38,3.2,7.5,1.85,31.4698483456,206.546912099
Jeremy Lamb,CHA,21968-15559,SG,Jeremy,Lamb,28.80833435,12,5500,CLE@CHA,CLE,,,263.2601722,0.109429140417,108.25,103.4,1.04690522244,30.1155222437,1.8,16.7,0.33,5.1,3.2,0.67,30.1155222437,182.630072143
Joel Embiid,PHI,21968-49111,C,Joel,Embiid,41.66363525,11,9700,PHI@LAL,LAL,,,237.39966871,0.175499972163,111.25,108.0,1.03009259259,42.8433796296,4.6,20.9,1.45,10.8,3.2,1.09,42.8433796296,226.406041817
John Collins,ATL,21968-66236,PF,John,Collins,23.01428659,14,4800,SAC@ATL,SAC,,,190.554761879,0.12077518485,104.5,102.6,1.01851851852,23.352037037,1.4,10.4,1.07,7.2,0.7,0.36,23.352037037,205.549519829
